title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
2-комнатная квартира · 60 м² · 6/10 этаж,46 000 000〒,"Ауэзовский р-н, мкр Мамыр-1",2-комнатная квартира,60 м²,6,10,Нет,Нет
2-комнатная квартира · 70.9 м² · 8/9 этаж,50 000 000〒,"Ауэзовский р-н, мкр Таугуль, Мустай Карима — Жандосова  Саина",2-комнатная квартира,70.9 м²,8,9,Нет,Нет
3-комнатная квартира · 74 м² · 1/9 этаж,45 000 000〒,"Ауэзовский р-н, мкр Таугуль 72",3-комнатная квартира,74 м²,1,9,Нет,Нет
2-комнатная квартира · 70 м² · 1/9 этаж,50 000 000〒,"Ауэзовский р-н, мкр Таугуль 12/15 — Ул.Мустай Карима",2-комнатная квартира,70 м²,1,9,Нет,Нет
3-комнатная квартира · 58 м² · 3/4 этаж,38 000 000〒,"Ауэзовский р-н, мкр №7 22 — Абая алтынсарина",3-комнатная квартира,58 м²,3,4,Нет,Нет
3-комнатная квартира · 117 м² · 17/17 этаж,77 500 000〒,"Ауэзовский р-н, мкр Мамыр-1 29/8",3-комнатная квартира,117 м²,17,17,Нет,Да
2-комнатная квартира · 72.5 м² · 4/12 этаж,62 400 000〒,"Ауэзовский р-н, Аскарова 1 — Саина/Аскарова",2-комнатная квартира,72.5 м²,4,12,Нет,Да
1-комнатная квартира · 31 м² · 1/4 этаж,24 000 000〒,"Ауэзовский р-н, мкр №5 44 — Алтынсарина Куанышбаева",1-комнатная квартира,31 м²,1,4,Нет,Нет
3-комнатная квартира · 62 м² · 1/4 этаж,38 000 000〒,"Ауэзовский р-н, мкр №1 — Сайна Жубанова",3-комнатная квартира,62 м²,1,4,Нет,Нет
2-комнатная квартира · 90 м² · 5/13 этаж,70 000 000〒,"Ауэзовский р-н, мкр Мамыр-7 21",2-комнатная квартира,90 м²,5,13,Нет,Да
2-комнатная квартира · 65 м² · 5/9 этаж,38 900 000〒,"Ауэзовский р-н, Мустай Карима — Саина",2-комнатная квартира,65 м²,5,9,Нет,Нет
1-комнатная квартира · 30 м² · 11/12 этаж,22 500 000〒,"Ауэзовский р-н, мкр Достык, Садвакасова",1-комнатная квартира,30 м²,11,12,Нет,Да
1-комнатная квартира · 40 м² · 1/9 этаж,25 500 000〒,"Ауэзовский р-н, мкр Аксай-4 10",1-комнатная квартира,40 м²,1,9,Нет,Нет
4-комнатная квартира · 90 м² · 5/9 этаж,70 000 000〒,"Ауэзовский р-н, мкр Аксай-5 18",4-комнатная квартира,90 м²,5,9,Нет,Нет
3-комнатная квартира · 78 м² · 1/5 этаж,58 000 000〒,"Ауэзовский р-н, Жандосова 49",3-комнатная квартира,78 м²,1,5,Нет,Нет
2-комнатная квартира · 72.6 м² · 5/12 этаж,45 500 000〒,"Ауэзовский р-н, Садвокасова 35",2-комнатная квартира,72.6 м²,5,12,Нет,Нет
2-комнатная квартира · 54.7 м² · 11/13 этаж,36 000 000〒,"Ауэзовский р-н, мкр Тастак-1 348 — Райымбека емцова",2-комнатная квартира,54.7 м²,11,13,Нет,Нет
2-комнатная квартира · 72.6 м² · 5/12 этаж,45 500 000〒,"Ауэзовский р-н, мкр Достык, Садвакасова 35 — пр. Абая",2-комнатная квартира,72.6 м²,5,12,Нет,Да
1-комнатная квартира · 33 м² · 4/4 этаж,25 000 000〒,"Ауэзовский р-н, мкр №4 25",1-комнатная квартира,33 м²,4,4,Нет,Нет
3-комнатная квартира · 85.4 м² · 4/5 этаж,44 500 000〒,"Ауэзовский р-н, мкр Аксай-3Б 11 — Толе би - Яссауи",3-комнатная квартира,85.4 м²,4,5,Нет,Нет
3-комнатная квартира · 62 м² · 3/4 этаж,37 500 000〒,"Ауэзовский р-н, мкр №1 19 — Ул.Жубанова",3-комнатная квартира,62 м²,3,4,Нет,Нет
3-комнатная квартира · 131 м² · 6/9 этаж,80 000 000〒,"Ауэзовский р-н, мкр Жетысу-2 80",3-комнатная квартира,131 м²,6,9,Нет,Нет
3-комнатная квартира · 74 м² · 1/9 этаж,47 000 000〒,"Ауэзовский р-н, мкр Аксай-4 — Сзади супермаркета Small",3-комнатная квартира,74 м²,1,9,Нет,Нет
2-комнатная квартира · 50 м² · 2/9 этаж,35 500 000〒,"Ауэзовский р-н, мкр Аксай-3Б — Ул.Яссауи уг.ул Толе би",2-комнатная квартира,50 м²,2,9,Нет,Нет
2-комнатная квартира · 51.3 м² · 9/10 этаж,37 000 000〒,"Ауэзовский р-н, Толе би 285/8 — Утеген батыра",2-комнатная квартира,51.3 м²,9,10,Нет,Да
2-комнатная квартира · 62 м² · 12/13 этаж,40 000 000〒,"Ауэзовский р-н, Райымбек батыр 78",2-комнатная квартира,62 м²,12,13,Нет,Да
