title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
4-комнатная квартира · 103 м² · 9/17 этаж,81 700 000〒,"Бостандыкский р-н, Утепова 31",4-комнатная квартира,103 м²,9,17,Нет,Да
2-комнатная квартира · 48 м² · 1 этаж,40 000 000〒,"Бостандыкский р-н, Тургут Озала 237",2-комнатная квартира,48 м²,,,Нет,Да
2-комнатная квартира · 50.1 м² · 11/16 этаж,50 500 000〒,"Бостандыкский р-н, Сатпаева 90/55 — ADK",2-комнатная квартира,50.1 м²,11,16,Нет,Да
4-комнатная квартира · 230 м² · 1/6 этаж,249 900 000〒,"Бостандыкский р-н, Рахмадиева 2/1 — М-н Казахфильм , Аль-Фараби",4-комнатная квартира,230 м²,1,6,Нет,Да
3-комнатная квартира · 77 м² · 3/20 этаж,86 000 000〒,"Бостандыкский р-н, Гагарина 310",3-комнатная квартира,77 м²,3,20,Нет,Да
3-комнатная квартира · 92 м² · 12/21 этаж,72 999 999〒,"Бостандыкский р-н, Гагарина 133/2",3-комнатная квартира,92 м²,12,21,Нет,Да
1-комнатная квартира · 34 м² · 16/16 этаж,31 000 000〒,"Бостандыкский р-н, Жандосова 94А",1-комнатная квартира,34 м²,16,16,Нет,Да
3-комнатная квартира · 97.1 м² · 5/14 этаж,65 000 000〒,"Бостандыкский р-н, Торайгырова",3-комнатная квартира,97.1 м²,5,14,Нет,Да
4-комнатная квартира · 105 м² · 1/4 этаж,83 000 000〒,"Бостандыкский р-н, мкр Алмагуль, Гагарина — Утепова",4-комнатная квартира,105 м²,1,4,Нет,Нет
3-комнатная квартира · 132 м² · 9/13 этаж,104 000 000〒,"Бостандыкский р-н, Ходжанова 77 — Ул. Ходжанова-пр. Аль-Фараби",3-комнатная квартира,132 м²,9,13,Нет,Да
3-комнатная квартира · 74 м² · 6 этаж,41 500 000〒,"Бостандыкский р-н, Жандосова 94А",3-комнатная квартира,74 м²,,,Нет,Да
2-комнатная квартира · 42 м² · 1/6 этаж,51 000 000〒,"Бостандыкский р-н, мкр Ерменсай 25/1",2-комнатная квартира,42 м²,1,6,Нет,Да
2-комнатная квартира · 63 м² · 13/16 этаж,64 000 000〒,"Бостандыкский р-н, Тлендиева 133/5 — Сатпаева ADK",2-комнатная квартира,63 м²,13,16,Нет,Да
3-комнатная квартира · 69.7 м² · 2/3 этаж,65 000 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Мкрн. Нурлытау 932",3-комнатная квартира,69.7 м²,2,3,Нет,Да
1-комнатная квартира · 28 м² · 3/13 этаж,28 000 000〒,"Бостандыкский р-н, Журавлева 26",1-комнатная квартира,28 м²,3,13,Нет,Да
2-комнатная квартира · 57 м² · 15/22 этаж,37 800 000〒,"Бостандыкский р-н, Тургут Озала 237",2-комнатная квартира,57 м²,15,22,Нет,Да
3-комнатная квартира · 65.3 м² · 1/5 этаж,50 000 000〒,"Бостандыкский р-н, мкр Коктем-3 — Байзакова-Сатпаева",3-комнатная квартира,65.3 м²,1,5,Нет,Нет
2-комнатная квартира · 58.4 м² · 3/3 этаж,43 500 000〒,"Бостандыкский р-н, мкр Нурлытау (Энергетик), Мкрн. Нурлытау 932 — Газиза Жубанова ул.",2-комнатная квартира,58.4 м²,3,3,Нет,Да
4-комнатная квартира · 261.69 м² · 1/3 этаж,125 000 000〒,"Бостандыкский р-н, 13-я 40, 96",4-комнатная квартира,261.69 м²,1,3,Нет,Да
3-комнатная квартира · 97 м² · 9/14 этаж,62 000 000〒,"Бостандыкский р-н, Торайгырова 25",3-комнатная квартира,97 м²,9,14,Нет,Да
3-комнатная квартира · 59.4 м² · 5/5 этаж,44 000 000〒,"Бостандыкский р-н, мкр Орбита-2",3-комнатная квартира,59.4 м²,5,5,Нет,Нет
2-комнатная квартира · 80 м² · 11/12 этаж,95 000 000〒,"Бостандыкский р-н, Басенова 10 — Розыбакиева",2-комнатная квартира,80 м²,11,12,Нет,Да
3-комнатная квартира · 115 м² · 17/17 этаж,105 000 000〒,"Бостандыкский р-н, Радостовца 280 — Ходжанова",3-комнатная квартира,115 м²,17,17,Нет,Да
2-комнатная квартира · 52.7 м² · 4/18 этаж,35 000 000〒,"Бостандыкский р-н, Жандосова 94А",2-комнатная квартира,52.7 м²,4,18,Нет,Да
2-комнатная квартира · 39 м² · 4/4 этаж,26 500 000〒,"Бостандыкский р-н, ул. Санаторий Алматы 1 — Выше Аль-Фараби по Аскарова",2-комнатная квартира,39 м²,4,4,Нет,Нет
3-комнатная квартира · 97.2 м² · 6/7 этаж,60 000 000〒,"Бостандыкский р-н, Вахтангова",3-комнатная квартира,97.2 м²,6,7,Нет,Нет
5-комнатная квартира · 170.9 м² · 14/15 этаж,115 000 000〒,"Бостандыкский р-н, Масанчи 98в — Абая",5-комнатная квартира,170.9 м²,14,15,Нет,Да
4-комнатная квартира · 147 м² · 7/16 этаж,157 000 000〒,"Бостандыкский р-н, Гагарина проспект 124 — Абая",4-комнатная квартира,147 м²,7,16,Нет,Да
3-комнатная квартира · 83 м² · 9/10 этаж,57 499 999〒,"Бостандыкский р-н, Кенесары хана 54",3-комнатная квартира,83 м²,9,10,Нет,Да
2-комнатная квартира · 64 м² · 16/20 этаж,38 000 000〒,"Бостандыкский р-н, Тургут Озала 237 — САМАЯ ДЕШЕВАЯ!",2-комнатная квартира,64 м²,16,20,Нет,Да
2-комнатная квартира · 58 м² · 7/16 этаж,52 000 000〒,"Бостандыкский р-н, Торайгырова 19а",2-комнатная квартира,58 м²,7,16,Нет,Да
