title,price,address,rooms,area,floor,total_floors,dormitory,residential_complex
3-комнатная квартира · 70 м² · 12/13 этаж,47 000 000〒,"Жетысуский р-н, Райымбека 259",3-комнатная квартира,70 м²,12,13,Нет,Да
1-комнатная квартира · 46 м² · 8/13 этаж,29 900 000〒,"Жетысуский р-н, Есенова 160/3",1-комнатная квартира,46 м²,8,13,Нет,Да
3-комнатная квартира · 92.2 м² · 3/9 этаж,57 000 000〒,"Жетысуский р-н, мкр Кулагер 30 — Акимат Жетісу",3-комнатная квартира,92.2 м²,3,9,Нет,Нет
2-комнатная квартира · 70.5 м² · 11/13 этаж,43 000 000〒,"Жетысуский р-н, Есенова 160/3",2-комнатная квартира,70.5 м²,11,13,Нет,Да
4-комнатная квартира · 87 м² · 5/6 этаж,50 000 000〒,"Жетысуский р-н, мкр Айнабулак-2, Айнабулак 2-й микрорайон — Палладина/Ангарская",4-комнатная квартира,87 м²,5,6,Нет,Да
1-комнатная квартира · 38 м² · 5/5 этаж,23 500 000〒,"Жетысуский р-н, мкр Айнабулак-4 169",1-комнатная квартира,38 м²,5,5,Нет,Нет
3-комнатная квартира · 92 м² · 2/9 этаж,53 000 000〒,"Жетысуский р-н, мкр Кулагер — Напротив Магнума",3-комнатная квартира,92 м²,2,9,Нет,Нет
1-комнатная квартира · 40 м² · 1/6 этаж,19 800 000〒,"Жетысуский р-н, мкр Кокжиек 22",1-комнатная квартира,40 м²,1,6,Нет,Нет
3-комнатная квартира · 66 м² · 9/10 этаж,33 000 000〒,"Жетысуский р-н, Кульджинский тракт 153/51 — Бухтарминская",3-комнатная квартира,66 м²,9,10,Нет,Да
2-комнатная квартира · 45 м² · 1/2 этаж,20 000 000〒,"Жетысуский р-н, Тохтарова — Рыскулова Жансугурова",2-комнатная квартира,45 м²,1,2,Нет,Нет
3-комнатная квартира · 67 м² · 1/5 этаж,35 900 000〒,"Жетысуский р-н, Проспект Турара Рыскулова 58а — Лучшее ПРЕДЛОЖЕНИЕ!!! НЕБОЛЬШОЙ ТОРГ!",3-комнатная квартира,67 м²,1,5,Нет,Нет
1-комнатная квартира · 42.9 м² · 5/5 этаж,23 500 000〒,"Жетысуский р-н, мкр Кокжиек, Геологов 10Б",1-комнатная квартира,42.9 м²,5,5,Нет,Нет
